tissue	nes	l95	u95
Testis	0.099703798150822	0.0550695145692692	0.144338081732375
Colon_Sigmoid	0.0853915742562489	0.0174307865763116	0.153352361936186
Kidney_Cortex	0.0840050875699734	-0.14418177086394	0.312191946003887
Pancreas	0.0803789147062799	0.00766110521064801	0.153096724201912
Uterus	0.0666033792007302	-0.0546940107594563	0.187900769160917
Heart_Left_Ventricle	0.056846854453319	0.00880881608154059	0.104884892825097
Heart_Atrial_Appendage	0.0490684240590395	-0.00860835771639674	0.106745205834476
Artery_Aorta	0.038404080647996	-0.0264223508063339	0.103230512102325
Skin_Not_Sun_Exposed_Suprapubic	0.0322256118742279	-0.0103079903235412	0.074759214071997
Cells_Cultured_fibroblasts	0.0234279236988185	-0.0336075169522613	0.0804633643498987
Esophagus_Mucosa	0.0232949770317147	-0.0287834516028622	0.0753734056662917
Small_Intestine_Terminal_Ileum	0.0228346154350165	-0.0470329415614501	0.0927021724314828
Esophagus_Muscularis	0.0185849237029567	-0.0446688397114878	0.0818386871174012
Whole_Blood	0.0172250463571251	-0.0193327702129652	0.0537828629272154
Lung	0.0161580718264024	-0.0316458603691359	0.0639620040219407
Nerve_Tibial	0.0129975624204727	-0.0260697390321114	0.0520648638730576
Colon_Transverse	0.00902703868230834	-0.0276480270447266	0.0457021044093433
Adipose_Visceral_Omentum	0.00855212197645755	-0.0433510211291757	0.0604552650820908
Spleen	0.00781708396250308	-0.0594368756057542	0.07507104353076
Stomach	0.00774164748269658	-0.04429364601053	0.0597769409759221
Liver	0.00719558580344883	-0.0741027836509764	0.0884939552578741
Brain_Caudate_basal_ganglia	0.00655978262302804	-0.0775253130314827	0.0906448782775387
Skin_Sun_Exposed_Lower_leg	0.00116819005952268	-0.0372983565153397	0.0396347366343858
Artery_Tibial	-0.00103129200539791	-0.0557280237199681	0.0536654397091719
Brain_Anterior_cingulate_cortex_BA24	-0.00163710465850653	-0.0968232250084669	0.0935490156914539
Brain_Hippocampus	-0.00169217398901121	-0.0830575989813547	0.0796732510033322
Breast_Mammary_Tissue	-0.00356442118754375	-0.0501931168500971	0.0430642744750099
Adipose_Subcutaneous	-0.00818991483405736	-0.0530353645394044	0.0366555348712897
Vagina	-0.0132296438859964	-0.13900740255076	0.112548114778767
Brain_Frontal_Cortex_BA9	-0.0183850535442855	-0.0984260336283354	0.0616559265397644
Esophagus_Gastroesophageal_Junction	-0.0218426672401312	-0.0957002248115453	0.052014890331283
Minor_Salivary_Gland	-0.0235445646422672	-0.151654954109987	0.104565824825453
Thyroid	-0.0245949333439907	-0.0730323639109127	0.023842497222931
Brain_Nucleus_accumbens_basal_ganglia	-0.0264376801872718	-0.0829539305915476	0.0300785702170039
Brain_Substantia_nigra	-0.0310045832672525	-0.16434942213789	0.102340255603385
Brain_Cortex	-0.0314696465143302	-0.105661305362389	0.0427220123337289
Brain_Amygdala	-0.032751396435776	-0.137160006075359	0.0716572132038068
Prostate	-0.0431664523416111	-0.108639518778554	0.0223066140953314
Adrenal_Gland	-0.045603507799839	-0.139316170935021	0.048109155335343
Artery_Coronary	-0.0522423381703054	-0.141889710302	0.0374050339613892
Ovary	-0.0537439652733127	-0.143992876558026	0.0365049460114016
Brain_Putamen_basal_ganglia	-0.0562874580933153	-0.140101586632613	0.0275266704459828
Brain_Spinal_cord_cervical_c-1	-0.0610968462907219	-0.176010823537465	0.0538171309560211
Brain_Hypothalamus	-0.0618452089819214	-0.144866043058013	0.0211756250941706
Cells_EBV-transformed_lymphocytes	-0.125236960833238	-0.303786839633029	0.0533129179665526
Muscle_Skeletal	-0.127097613962006	-0.172769493761869	-0.0814257341621429
Pituitary	-0.128189997411799	-0.216928590542762	-0.0394514042808353
Brain_Cerebellar_Hemisphere	-0.56034169183528	-0.650401592773348	-0.470281790897213
Brain_Cerebellum	-0.596678446808055	-0.681826431559214	-0.511530462056896
