x="750.7079023595155" y="42.96637634000618" width="11.788268930989608" height="11.788268930989608" fill="#AAAAAA" tissue="Testis"
x="746.2254687167454" y="61.86049578712404" width="11.721051647755836" height="11.721051647755836" fill="#EEBB77" tissue="Colon_Sigmoid"
x="748.580149855728" y="83.51317617142554" width="6.136712490154798" height="6.136712490154798" fill="#22FFDD" tissue="Kidney_Cortex"
x="744.7545008384542" y="99.69223121037084" width="11.499624023266197" height="11.499624023266197" fill="#995522" tissue="Pancreas"
x="742.24341796351" y="120.38835615261476" width="7.828395749780298" height="7.828395749780298" fill="#FF66FF" tissue="Uterus"
x="736.6731481547408" y="136.75714585236713" width="12.81183796127749" height="12.81183796127749" fill="#660099" tissue="Heart_Left_Ventricle"
x="734.3268535638912" y="155.72574796997017" width="12.595655337073438" height="12.595655337073438" fill="#9900FF" tissue="Heart_Atrial_Appendage"
x="730.8461175788376" y="174.47052225760444" width="12.827128372806854" height="12.827128372806854" fill="#FF5555" tissue="Artery_Aorta"
x="727.9751344236333" y="192.40958803982508" width="14.670018419367526" height="14.670018419367526" fill="#0000FF" tissue="Skin_Not_Sun_Exposed_Suprapubic"
x="725.4277052317252" y="211.49866953279846" width="14.212877044422742" height="14.212877044422742" fill="#AAEEFF" tissue="Cells_Cultured_fibroblasts"
x="725.2906940280203" y="230.26411878369387" width="14.403000153633881" height="14.403000153633881" fill="#552200" tissue="Esophagus_Mucosa"
x="727.8817021216291" y="251.8608989959379" width="8.930461340147701" height="8.930461340147701" fill="#555522" tissue="Small_Intestine_Terminal_Ileum"
x="724.0238276080182" y="268.20447207717416" width="13.964336788677223" height="13.964336788677223" fill="#BB9988" tissue="Esophagus_Muscularis"
x="722.2959787211431" y="285.76622619283336" width="16.561850168360774" height="16.561850168360774" fill="#FF00BB" tissue="Whole_Blood"
x="722.9184575301886" y="305.5858862041402" width="14.64355175674918" height="14.64355175674918" fill="#99FF00" tissue="Lung"
x="721.8095202451075" y="324.3347187265515" width="14.86690832292839" height="14.86690832292839" fill="#FFD700" tissue="Nerve_Tibial"
x="721.7235532622068" y="344.36211138835364" width="12.533144610326021" height="12.533144610326021" fill="#CC9955" tissue="Colon_Transverse"
x="720.8302825851721" y="362.4792055116277" width="14.01997797478003" height="14.01997797478003" fill="#FFAA00" tissue="Adipose_Visceral_Omentum"
x="722.5792932627379" y="383.32065899744276" width="10.058092614151834" height="10.058092614151834" fill="#778855" tissue="Spleen"
x="721.6736760331886" y="401.29935560604" width="11.82172100795938" height="11.82172100795938" fill="#FFDD99" tissue="Stomach"
x="722.5768703091599" y="421.23536358408023" width="9.670726662880753" height="9.670726662880753" fill="#AABB66" tissue="Liver"
