sample	standard_curve	ngml_av	se_mean	flag
A1	RaPrP50	9.137	0.252	
A2	RaPrP50	7.771	0.479	
A3	RaPrP50	10.093	0.119	
A4	RaPrP50	7.931	0.239	
B1	RaPrP50	13.546	0.709	
B2	RaPrP50	9.761	0.584	
B4	RaPrP50	10.292	0.08	
C1	RaPrP50	12.015	0.202	
C2	RaPrP50	11.305	0.107	
C3	RaPrP50	9.906	0.226	
C4	RaPrP50	10.918	0.12	
D1	RaPrP50	12.569	0.648	
D2	RaPrP50	13.982	0.493	
D3	RaPrP50	9.787	0.053	
D4	RaPrP50	11.172	0.667	
E1	RaPrP50	12.514	0.566	
E2	RaPrP50	12.19	0.162	
E3	RaPrP50	11.265	0.227	
E4	RaPrP50	10.878	0.08	
F1	RaPrP50	9.641	0.252	
F2	RaPrP50	12.216	0.135	
F3	RaPrP50	11.078	0.2	
F4	RaPrP50	11.198	0.214	
Mo Neg QC	MoPrP16	8.162	2.078	
Mo Pos Hi QC	MoPrP16	81.546	1.308	
Mo Pos Lo QC	MoPrP16	14.782	0.189	
Mo Pos Mid QC	MoPrP16	43.056	0.715	
