sample	standard_curve	ngml_av	se_mean	flag
A1	RaPrP50	115.464	4.117	
A2	RaPrP50	111.512	3.84	
A3	RaPrP50	113.256	2.41	
A4	RaPrP50	125.991	4.658	
A5	RaPrP50	123.95	3.103	
A6	RaPrP50	127.756	4.965	
B1	RaPrP50	92.67	3.153	
B2	RaPrP50	64.378	0.997	
B3	RaPrP50	89.785	2.386	
B4	RaPrP50	80.05	6.257	
B6	RaPrP50	83.122	0.993	
C1	RaPrP50	60.998	1.913	
C2	RaPrP50	54.514	1.416	
C3	RaPrP50	64.194	3.074	
C4	RaPrP50	43.254	1.619	
C5	RaPrP50	56.744	0.041	
C6	RaPrP50	54.901	0.153	
CSF - A2	RaPrP50	18.888	0.844	
CSF - D2	RaPrP50	7.912	0.534	
D1	RaPrP50	40.465	0.431	
D2	RaPrP50	36.606	0.671	
D3	RaPrP50	40.486	0.637	
D4	RaPrP50	35.129	0.31	
D5	RaPrP50	43.736	0.174	
D6	RaPrP50	34.302	0.186	
Mo Neg QC	MoPrP16	3.907	0.303	
Mo Pos Hi QC	MoPrP16	119.239	6.419	
Mo Pos Lo QC	MoPrP16	18.664	0.017	
Mo Pos Mid QC	MoPrP16	63.543	1.376	
