sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	151.846	2.683	
A2	MoPrP16	154.677	3.427	
A3	MoPrP16	147.22	1.942	
B1	MoPrP16	119.932	0.305	
B2	MoPrP16	141.837	0.15	
B3	MoPrP16	142.586	0.898	
C1	MoPrP16	130.862	1.812	
C2	MoPrP16	107.277	3.117	
C3	MoPrP16	134.625	4.063	
D1	MoPrP16	86.567	0	
D2	MoPrP16	93.858	0.481	
D3	MoPrP16	89.975	3.081	
E1	MoPrP16	81.28	1.665	
E2	MoPrP16	86.728	1.145	
E3	MoPrP16	147.968	0.895	
F1	MoPrP16	164.798	1.636	
F2	MoPrP16	152.442	2.683	
F3	MoPrP16	162.418	2.232	
G1	MoPrP16	141.837	0.15	
G2	MoPrP16	156.465	0.149	
G3	MoPrP16	143.184	1.496	
H1	MoPrP16	129.05	1.513	
H2	MoPrP16	97.689	1.113	
H3	MoPrP16	97.372	0.159	
I1	MoPrP16	82.108	2.159	
I2	MoPrP16	88.361	1.14	
I3	MoPrP16	77.596	1.013	
J1	MoPrP16	41.42	0.419	
J2	MoPrP16	71.965	1.208	
J3	MoPrP16	88.851	0	
Mo Neg QC	MoPrP16	NA	NA	
Mo Pos Hi QC	MoPrP16	133.72	4.669	
Mo Pos Lo QC	MoPrP16	22.796	0.535	
Mo Pos Mid QC	MoPrP16	74.017	2.566	
