sample	standard_curve	ngml_av	se_mean	flag
2274 BA 7	HuPrP5	142.019	7.053	
2274 CB	HuPrP5	74.331	1.812	
2274 Pu	HuPrP5	129.449	8.289	
2274 Thal	HuPrP5	41.041	3.534	
2274 WM	HuPrP5	22.884	1.608	
2327 BA 7	HuPrP5	133.587	1.102	
2327 CB	HuPrP5	90.444	1.12	
2327 ON	HuPrP5	15.457	0.122	
2327 Pu	HuPrP5	125.182	2.754	
2327 Thal	HuPrP5	116.686	4.474	
2327 WM	HuPrP5	66.356	0.339	
2339 BA 7	HuPrP5	150.954	0.715	
2339 CB	HuPrP5	241.485	4.209	
2339 Pu	HuPrP5	161.985	3.578	
2339 Thal	HuPrP5	139.688	0.584	
2339 WM	HuPrP5	98.725	1.768	
2380 BA 7	HuPrP5	211.335	2.87	
2380 CB	HuPrP5	69.221	0.824	
2380 ON	HuPrP5	20.52	0.341	
2380 Pu	HuPrP5	84.646	13.117	
2380 Thal	HuPrP5	62.809	0.105	
2380 WM	HuPrP5	42.544	2.688	
2407 BA 7	HuPrP5	149.214	3.497	
2407 CB	HuPrP5	26.638	0.749	
2407 ON	HuPrP5	14.726	0.087	
2407 Pu	HuPrP5	100.804	2.88	
2407 Thal	HuPrP5	77.76	0.285	
2407 WM	HuPrP5	24.566	0.641	
Mo QC Neg	MoPrP16	10.24	0	LLQ
Mo QC Pos Hi	MoPrP16	99.25	13.026	
Mo QC Pos Lo	MoPrP16	18.191	1.411	
Mo QC Pos Mid	MoPrP16	45.165	4.705	
