sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	129.857	1.341	
A2	MoPrP16	134.294	1.962	
A3	MoPrP16	126.626	2.268	
A4	MoPrP16	128.568	0.842	
B1	MoPrP16	117.752	4.753	
B2	MoPrP16	111.61	1.527	
B3	MoPrP16	80.464	0.484	
B4	MoPrP16	99.856	2.645	
C1	MoPrP16	89.402	0.965	
C2	MoPrP16	93.86	0.051	
C3	MoPrP16	134.741	0.62	
C4	MoPrP16	96.747	1.22	
D1	MoPrP16	80.169	2.508	
D2	MoPrP16	85.983	5.485	
D3	MoPrP16	88.817	1.378	
D4	MoPrP16	82.797	1.883	
E1	MoPrP16	101.811	4.841	
E2	MoPrP16	108.214	3.242	
E3	MoPrP16	77.971	1.836	
E4	MoPrP16	83.73	1.226	
Mo Neg QC	MoPrP16	7.992	0.432	
Mo Pos Hi QC	MoPrP16	124.874	0.377	
Mo Pos Lo QC	MoPrP16	22.458	0.274	
Mo Pos Mid QC	MoPrP16	61.596	1.248	
N2a lysate - 0.2% CHAPS - Control	MoPrP16	2.29	0.117	
N2a lysate - 0.2% CHAPS - Minilys	MoPrP16	2.138	0.044	
N2a lysate - 0.2% CHAPS - RT for 2 hrs	MoPrP16	2.689	0.044	
N2a lysate - 0.2% CHAPS - RT for 4 hrs	MoPrP16	2.846	0.062	
N2a lysate - 0.2% CHAPS - Vigorous Pipetting	MoPrP16	2.422	0.03	
N2a lysate - Assay buffer	MoPrP16	0.16	0.005	
