sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	157.201	7.64	
A2	MoPrP16	151.914	4.169	
A3	MoPrP16	134.75	1.084	
A4	MoPrP16	151.335	2.483	
A5	MoPrP16	98.544	1.067	
A6	MoPrP16	167.004	4.12	
A7	MoPrP16	122.388	0.088	
A8	MoPrP16	159.218	4.511	
B1	MoPrP16	89.788	1.362	
B2	MoPrP16	164.308	1.781	
B3	MoPrP16	122.676	0.641	
B4	MoPrP16	105.672	1.753	
B5	MoPrP16	93.424	0.267	
B6	MoPrP16	126.191	0.708	
B7	MoPrP16	86.993	2.327	
B8	MoPrP16	94.939	2.005	
C2	MoPrP16	91.367	4.73	
C3	MoPrP16	81.302	0.27	
C4	MoPrP16	84.644	0.157	
C5	MoPrP16	96.231	0.712	
C6	MoPrP16	104.496	1.02	
C7	MoPrP16	70.284	1.407	
C8	MoPrP16	92.376	1.137	
D1	MoPrP16	212.76	1.455	
D2	MoPrP16	277.486	1.97	
D3	MoPrP16	242.563	0.672	
D4	MoPrP16	260.479	0.562	
D5	MoPrP16	242.053	0.949	
D6	MoPrP16	228.232	5.072	
D7	MoPrP16	153.952	0.665	
D8	MoPrP16	246.111	1.718	
Mo Neg QC	MoPrP16	15.537	0.274	
Mo Pos Hi QC	MoPrP16	198.431	6.613	
Mo Pos Lo QC	MoPrP16	40.777	0.864	
Mo Pos Mid QC	MoPrP16	111.588	3.499	
