sample	standard_curve	ngml_av	se_mean	flag
A1	RaPrP50	107.478	1.713	
A2	RaPrP50	110.99	7.81	
A3	RaPrP50	118.094	2.388	
A4	RaPrP50	102.739	2.738	
B1	RaPrP50	98.548	0.582	
B2	RaPrP50	66.405	3.92	
B3	RaPrP50	81.575	1.223	
B4	RaPrP50	92.219	4.288	
C1	RaPrP50	98.245	3.203	
C2	RaPrP50	113.862	3.816	
C3	RaPrP50	92.982	0.295	
C4	RaPrP50	89.696	4.17	
D1	RaPrP50	101.444	2.024	
D2	RaPrP50	98.838	0.873	
D3	RaPrP50	100.869	0.578	
D4	RaPrP50	91.652	0.445	
E1	RaPrP50	102.008	4.043	
E2	RaPrP50	106.897	3.717	
E3	RaPrP50	100.288	1.449	
E4	RaPrP50	98.836	1.745	
F1	RaPrP50	98.243	3.494	
F2	RaPrP50	97.965	0.583	
F3	RaPrP50	78.805	1.854	
F4	RaPrP50	92.98	1.475	
Mo Neg QC	MoPrP16	13.232	1.748	
Mo Pos Hi QC	MoPrP16	125.055	2.679	
Mo Pos Lo QC	MoPrP16	25.549	1.408	
Mo Pos Mid QC	MoPrP16	68.35	0.982	
