sample	standard_curve	ngml_av	se_mean	flag
1001M-CB	CyPrP51	64.945	1.991	
1001M-HP	CyPrP51	91.17	1.562	
1001M-PFC	CyPrP51	73.46	0	
1001M-Pons	CyPrP51	10.24	0	LLQ
1001M-Thal	CyPrP51	25.62	0.474	
1002M-CB	CyPrP51	24.032	0.479	
1002M-HP	CyPrP51	102.558	0.428	
1002M-PFC	CyPrP51	81.815	0.708	
1002M-Pons	CyPrP51	10.424	0.187	
1002M-Thal	CyPrP51	16.974	0	
1003M-CB	CyPrP51	66.084	0.569	
1003M-HP	CyPrP51	82.381	0.142	
1003M-PFC	CyPrP51	75.16	1.7	
1003M-Pons	CyPrP51	10.61	0.372	
1003M-Thal	CyPrP51	20.965	0.653	
1501F-CB	CyPrP51	63.236	2.563	
1501F-HP	CyPrP51	86.632	2.976	
1501F-PFC	CyPrP51	85.072	0.283	
1501F-Pons	CyPrP51	9.862	0.378	
1501F-Thal	CyPrP51	33.794	2.425	
1502F-CB	CyPrP51	50.333	0.868	
1502F-HP	CyPrP51	95.434	2.417	
1502F-PFC	CyPrP51	77.851	2.407	
1502F-Pons	CyPrP51	10.24	0	LLQ
1502F-Thal	CyPrP51	32.74	1.065	
1503F-CB	CyPrP51	40.536	1.332	
1503F-HP	CyPrP51	90.318	1.844	
1503F-PFC	CyPrP51	76.292	1.983	
1503F-Pons	CyPrP51	10.24	0	LLQ
1503F-Thal	CyPrP51	33.646	1.971	
Mo Neg QC	MoPrP16	10.24	0	LLQ
Mo Pos Hi QC	MoPrP16	98.596	4.306	
Mo Pos Lo QC	MoPrP16	8.6	0.642	
Mo Pos Mid QC	MoPrP16	47.576	2.521	
