sample	standard_curve	ngml_av	se_mean	flag
F1 - CB	MoPrP16	80.116	1.404	
F1 - HP	MoPrP16	142.542	0.414	
F1 - MC	MoPrP16	122.202	4.797	
F1 - Medu	MoPrP16	57.118	1.186	
F1 - PFC	MoPrP16	137.442	0.826	
F1 - Pons	MoPrP16	51.423	2.42	
F1 - Str	MoPrP16	95.699	1.933	
F1 - Thal	MoPrP16	96.115	0.691	
F2 - CB	MoPrP16	75.173	3.258	
F2 - HP	MoPrP16	147.394	6.921	
F2 - MC	MoPrP16	85.016	1.535	
F2 - Medu	MoPrP16	50.522	1.215	
F2 - PFC	MoPrP16	125.082	3.839	
F2 - Pons	MoPrP16	39.775	1.762	
F2 - Str	MoPrP16	90.708	4.992	
F2 - Thal	MoPrP16	63.134	1.6	
M1 - CB	MoPrP16	81.798	1.962	
M1 - HP	MoPrP16	151.82	3.609	
M1 - MC	MoPrP16	119.049	1.096	
M1 - Medu	MoPrP16	64.589	0.145	
M1 - PFC	MoPrP16	147.386	4.706	
M1 - Pons	MoPrP16	58.892	0.884	
M1 - Str	MoPrP16	104.787	1.649	
M1 - Thal	MoPrP16	74.042	2.413	
M2 - CB	MoPrP16	90.022	2.915	
M2 - HP	MoPrP16	120.695	3.837	
M2 - MC	MoPrP16	85.99	2.23	
M2 - Medu	MoPrP16	44.838	0.155	
M2 - PFC	MoPrP16	148.631	4.294	
M2 - Pons	MoPrP16	50.222	0.304	
M2 - Str	MoPrP16	103.686	3.023	
M2 - Thal	MoPrP16	92.797	0.692	
Mo Neg QC	MoPrP16	10.24	0	LLQ
Mo Pos Hi QC	MoPrP16	121.656	8.089	
Mo Pos Lo QC	MoPrP16	15.877	0.412	
Mo Pos Mid QC	MoPrP16	65.017	2.316	
old M2 - CB	MoPrP16	67.184	2.16	
old M2 - HP	MoPrP16	120.283	0.685	
old M2 - MC	MoPrP16	94.037	3.595	
old M2 - PFC	MoPrP16	123.298	0.685	
