sample	standard_curve	ngml_av	se_mean	flag
F3 - CB	MoPrP16	85.152	2.373	
F3 - HP	MoPrP16	148.149	3.026	
F3 - MC	MoPrP16	123.142	2.82	
F3 - Medu	MoPrP16	30.984	1.723	
F3 - PFC	MoPrP16	151.329	2.581	
F3 - Pons	MoPrP16	49.508	1.103	
F3 - Str	MoPrP16	98.752	1.181	
F3 - Thal	MoPrP16	79.802	2.977	
F4 - CB	MoPrP16	79.342	6.108	
F4 - HP	MoPrP16	154.259	9.136	
F4 - MC	MoPrP16	78.464	1.341	
F4 - Medu	MoPrP16	38.394	1.979	
F4 - PFC	MoPrP16	155.29	4.115	
F4 - Pons	MoPrP16	37.219	3.154	
F4 - Str	MoPrP16	92.845	4.137	
F4 - Thal	MoPrP16	61.283	2.598	
M3 - CB	MoPrP16	65.082	3.945	
M3 - HP	MoPrP16	146.189	4.682	
M3 - MC	MoPrP16	123.738	4.306	
M3 - Medu	MoPrP16	49.508	1.103	
M3 - PFC	MoPrP16	120.654	12.163	
M3 - Pons	MoPrP16	49.813	2.677	
M3 - Str	MoPrP16	96.384	8.86	
M3 - Thal	MoPrP16	63.875	2.433	
M4 - CB	MoPrP16	69.025	1.508	
M4 - HP	MoPrP16	160.325	1.226	
M4 - MC	MoPrP16	118.695	3.703	
M4 - Medu	MoPrP16	46.815	1.273	
M4 - PFC	MoPrP16	144.821	0.603	
M4 - Pons	MoPrP16	40.371	0.653	
M4 - Str	MoPrP16	117.512	5.181	
M4 - Thal	MoPrP16	94.766	3.101	
Mo Neg QC	MoPrP16	10.24	0	LLQ
Mo Pos Hi QC	MoPrP16	121.954	2.819	
Mo Pos Lo QC	MoPrP16	19.994	0.572	
Mo Pos Mid QC	MoPrP16	70.38	1.955	
old M2 - CB	MoPrP16	63.424	1.066	
old M2 - HP	MoPrP16	106.72	1.476	
old M2 - MC	MoPrP16	82.924	2.822	
old M2 - PFC	MoPrP16	109.082	2.362	
