sample	standard_curve	ngml_av	se_mean	flag
F1 - CB	MoPrP16	45.154	0.745	
F1 - HP	MoPrP16	99.873	0.651	
F1 - MC	MoPrP16	44.261	1.34	
F1 - Mid	MoPrP16	53.109	1.511	
F1 - PFC	MoPrP16	91.782	0.965	
F1 - Str	MoPrP16	64.708	2.465	
F2 - CB	MoPrP16	40.849	1.183	
F2 - HP	MoPrP16	81.757	6.175	
F2 - MC	MoPrP16	50.099	2.706	
F2 - Mid	MoPrP16	49.645	1.953	
F2 - PFC	MoPrP16	89.077	5.605	
F2 - Str	MoPrP16	38.486	0.295	
F3 - CB	MoPrP16	37.456	0.441	
F3 - HP	MoPrP16	90.66	2.087	
F3 - MC	MoPrP16	40.404	0.739	
F3 - Mid	MoPrP16	53.422	3.931	
F3 - PFC	MoPrP16	54.318	1.212	
F3 - Str	MoPrP16	39.222	0.147	
M2 - CB	MoPrP16	47.544	0.748	
M2 - HP	MoPrP16	104.123	1.967	
M2 - MC	MoPrP16	72.299	0.78	
M2 - Mid	MoPrP16	51.599	0.602	
M2 - PFC	MoPrP16	94.36	0.969	
M2 - Str	MoPrP16	57.964	1.523	
M3 - CB	MoPrP16	55.531	1.214	
M3 - HP	MoPrP16	101.014	0.816	
M3 - MC	MoPrP16	60.559	1.377	
M3 - Mid	MoPrP16	59.647	2.902	
M3 - PFC	MoPrP16	88.252	0.32	
M3 - Str	MoPrP16	40.256	0.591	
M4 - CB	MoPrP16	45.751	1.044	
M4 - HP	MoPrP16	113.862	0.167	
M4 - MC	MoPrP16	52.505	1.509	
M4 - Mid	MoPrP16	56.745	0.608	
M4 - PFC	MoPrP16	87.621	3.196	
M4 - Str	MoPrP16	48.292	0.599	
Mo Neg QC	MoPrP16	10.273	0.971	
Mo Pos Hi QC	MoPrP16	92.432	3.22	
Mo Pos Lo QC	MoPrP16	17.838	0.424	
Mo Pos Mid QC	MoPrP16	45.154	0.745	
