row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	standard	5	1	CyPrP51		
A	4	standard	5	1	CyPrP51		
A	5	sample	1001M-PFC	200	CyPrP51		
A	6	sample	1001M-PFC	200	CyPrP51		
A	7	sample	1002M-Pons	200	CyPrP51		
A	8	sample	1002M-Pons	200	CyPrP51		
A	9	sample	1501F-CB	200	CyPrP51		
A	10	sample	1501F-CB	200	CyPrP51		
A	11	sample	Mo Pos Hi QC	200	MoPrP16		
A	12	sample	Mo Pos Hi QC	200	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	standard	2	1	CyPrP51		
B	4	standard	2	1	CyPrP51		
B	5	sample	1001M-CB	200	CyPrP51		
B	6	sample	1001M-CB	200	CyPrP51		
B	7	sample	1002M-Thal	200	CyPrP51		
B	8	sample	1002M-Thal	200	CyPrP51		
B	9	sample	1501F-HP	200	CyPrP51		
B	10	sample	1501F-HP	200	CyPrP51		
B	11	sample	Mo Pos Mid QC	200	MoPrP16		
B	12	sample	Mo Pos Mid QC	200	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	standard	0.8	1	CyPrP51		
C	4	standard	0.8	1	CyPrP51		
C	5	sample	1001M-HP	200	CyPrP51		
C	6	sample	1001M-HP	200	CyPrP51		
C	7	sample	1003M-PFC	200	CyPrP51		
C	8	sample	1003M-PFC	200	CyPrP51		
C	9	sample	1501F-Pons	200	CyPrP51		
C	10	sample	1501F-Pons	200	CyPrP51		
C	11	sample	Mo Pos Lo QC	200	MoPrP16		
C	12	sample	Mo Pos Lo QC	200	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	standard	0.32	1	CyPrP51		
D	4	standard	0.32	1	CyPrP51		
D	5	sample	1001M-Pons	200	CyPrP51		
D	6	sample	1001M-Pons	200	CyPrP51		
D	7	sample	1003M-CB	200	CyPrP51		
D	8	sample	1003M-CB	200	CyPrP51		
D	9	sample	1501F-Thal	200	CyPrP51		
D	10	sample	1501F-Thal	200	CyPrP51		
D	11	sample	Mo Neg QC	200	MoPrP16		
D	12	sample	Mo Neg QC	200	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	standard	0.128	1	CyPrP51		
E	4	standard	0.128	1	CyPrP51		
E	5	sample	1001M-Thal	200	CyPrP51		
E	6	sample	1001M-Thal	200	CyPrP51		
E	7	sample	1003M-HP	200	CyPrP51		
E	8	sample	1003M-HP	200	CyPrP51		
E	9	sample	1502F-PFC	200	CyPrP51		
E	10	sample	1502F-PFC	200	CyPrP51		
E	11	sample	1502F-Thal	200	CyPrP51		
E	12	sample	1502F-Thal	200	CyPrP51		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	standard	0.0512	1	CyPrP51		
F	4	standard	0.0512	1	CyPrP51		
F	5	sample	1002M-PFC	200	CyPrP51		
F	6	sample	1002M-PFC	200	CyPrP51		
F	7	sample	1003M-Pons	200	CyPrP51		
F	8	sample	1003M-Pons	200	CyPrP51		
F	9	sample	1502F-CB	200	CyPrP51		
F	10	sample	1502F-CB	200	CyPrP51		
F	11	sample	1503F-PFC	200	CyPrP51		
F	12	sample	1503F-PFC	200	CyPrP51		
G	1	standard	0	1	MoPrP16		
G	2	standard	0	1	MoPrP16		
G	3	standard	0	1	CyPrP51		
G	4	standard	0	1	CyPrP51		
G	5	sample	1002M-CB	200	CyPrP51		
G	6	sample	1002M-CB	200	CyPrP51		
G	7	sample	1003M-Thal	200	CyPrP51		
G	8	sample	1003M-Thal	200	CyPrP51		
G	9	sample	1502F-HP	200	CyPrP51		
G	10	sample	1502F-HP	200	CyPrP51		
G	11	sample	1503F-CB	200	CyPrP51		
G	12	sample	1503F-CB	200	CyPrP51		
H	1	sample	1503F-Thal	200	CyPrP51		
H	2	sample	1503F-Thal	200	CyPrP51		
H	3	sample	1503F-Pons	200	CyPrP51		
H	4	sample	1503F-Pons	200	CyPrP51		
H	5	sample	1002M-HP	200	CyPrP51		
H	6	sample	1002M-HP	200	CyPrP51		
H	7	sample	1501F-PFC	200	CyPrP51		
H	8	sample	1501F-PFC	200	CyPrP51		
H	9	sample	1502F-Pons	200	CyPrP51		
H	10	sample	1502F-Pons	200	CyPrP51		
H	11	sample	1503F-HP	200	CyPrP51		
H	12	sample	1503F-HP	200	CyPrP51		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
