row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	standard	5	1	HuPrP5		
A	4	standard	5	1	HuPrP5		
A	5	sample	2407 CB	200	HuPrP5		
A	6	sample	2407 CB	200	HuPrP5		
A	7	sample	2327 Thal	200	HuPrP5		
A	8	sample	2327 Thal	200	HuPrP5		
A	9	sample	2339 CB	200	HuPrP5		
A	10	sample	2339 CB	200	HuPrP5		
A	11	sample	Mo QC Pos Hi	200	MoPrP16		
A	12	sample	Mo QC Pos Hi	200	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	standard	2	1	HuPrP5		
B	4	standard	2	1	HuPrP5		
B	5	sample	2407 ON	200	HuPrP5		
B	6	sample	2407 ON	200	HuPrP5		
B	7	sample	2327 BA 7	200	HuPrP5		
B	8	sample	2327 BA 7	200	HuPrP5		
B	9	sample	2380 BA 7	200	HuPrP5		
B	10	sample	2380 BA 7	200	HuPrP5		
B	11	sample	Mo QC Pos Mid	200	MoPrP16		
B	12	sample	Mo QC Pos Mid	200	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	standard	0.8	1	HuPrP5		
C	4	standard	0.8	1	HuPrP5		
C	5	sample	2407 Thal	200	HuPrP5		
C	6	sample	2407 Thal	200	HuPrP5		
C	7	sample	2327 WM	200	HuPrP5		
C	8	sample	2327 WM	200	HuPrP5		
C	9	sample	2380 CB	200	HuPrP5		
C	10	sample	2380 CB	200	HuPrP5		
C	11	sample	Mo QC Pos Lo	200	MoPrP16		
C	12	sample	Mo QC Pos Lo	200	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	standard	0.32	1	HuPrP5		
D	4	standard	0.32	1	HuPrP5		
D	5	sample	2407 WM	200	HuPrP5		
D	6	sample	2407 WM	200	HuPrP5		
D	7	sample	2327 Pu	200	HuPrP5		
D	8	sample	2327 Pu	200	HuPrP5		
D	9	sample	2380 WM	200	HuPrP5		
D	10	sample	2380 WM	200	HuPrP5		
D	11	sample	Mo QC Neg	200	MoPrP16		
D	12	sample	Mo QC Neg	200	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	standard	0.128	1	HuPrP5		
E	4	standard	0.128	1	HuPrP5		
E	5	sample	2407 Pu	200	HuPrP5		
E	6	sample	2407 Pu	200	HuPrP5		
E	7	sample	2339 WM	200	HuPrP5		
E	8	sample	2339 WM	200	HuPrP5		
E	9	sample	2380 Pu	200	HuPrP5		
E	10	sample	2380 Pu	200	HuPrP5		
E	11	sample	2274 Pu	200	HuPrP5		
E	12	sample	2274 Pu	200	HuPrP5		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	standard	0.0512	1	HuPrP5		
F	4	standard	0.0512	1	HuPrP5		
F	5	sample	2407 BA 7	200	HuPrP5		
F	6	sample	2407 BA 7	200	HuPrP5		
F	7	sample	2339 BA 7	200	HuPrP5		
F	8	sample	2339 BA 7	200	HuPrP5		
F	9	sample	2380 ON	200	HuPrP5		
F	10	sample	2380 ON	200	HuPrP5		
F	11	sample	2274 BA 7	200	HuPrP5		
F	12	sample	2274 BA 7	200	HuPrP5		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	standard	0.02048	1	HuPrP5		
G	4	standard	0.02048	1	HuPrP5		
G	5	sample	2327 ON	200	HuPrP5		
G	6	sample	2327 ON	200	HuPrP5		
G	7	sample	2339 Thal	200	HuPrP5		
G	8	sample	2339 Thal	200	HuPrP5		
G	9	sample	2380 Thal	200	HuPrP5		
G	10	sample	2380 Thal	200	HuPrP5		
G	11	sample	2274 WM	200	HuPrP5		
G	12	sample	2274 WM	200	HuPrP5		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	standard	0	1	HuPrP5		
H	4	standard	0	1	HuPrP5		
H	5	sample	2327 CB	200	HuPrP5		
H	6	sample	2327 CB	200	HuPrP5		
H	7	sample	2339 Pu	200	HuPrP5		
H	8	sample	2339 Pu	200	HuPrP5		
H	9	sample	2274 CB	200	HuPrP5		
H	10	sample	2274 CB	200	HuPrP5		
H	11	sample	2274 Thal	200	HuPrP5		
H	12	sample	2274 Thal	200	HuPrP5		
