row	col	stype	detail	dilution			
A	2	standard	5	1			
A	3	standard	5	1			
A	4	sample	100% WT to KO 	200			
A	5	sample	100% WT to KO 	200			
A	6	sample	Mo Pos Hi QC	200			
A	7	sample	Mo Pos Hi QC	200			
A	8	sample	100% WT to KO 	800			
A	9	sample	100% WT to KO 	800			
A	10	sample	Mo Pos Hi QC	800			
A	11	sample	Mo Pos Hi QC	800			
B	2	standard	2	1			
B	3	standard	2	1			
B	4	sample	90% WT to KO 	200			
B	5	sample	90% WT to KO 	200			
B	6	sample	Mo Pos Mid QC	200			
B	7	sample	Mo Pos Mid QC	200			
B	8	sample	90% WT to KO 	800			
B	9	sample	90% WT to KO 	800			
B	10	sample	Mo Pos Mid QC	800			
B	11	sample	Mo Pos Mid QC	800			
C	2	standard	0.8	1			
C	3	standard	0.8	1			
C	4	sample	75% WT to KO 	200			
C	5	sample	75% WT to KO 	200			
C	6	sample	Mo Pos Lo QC	200			
C	7	sample	Mo Pos Lo QC	200			
C	8	sample	75% WT to KO 	800			
C	9	sample	75% WT to KO 	800			
C	10	sample	Mo Pos Lo QC	800			
C	11	sample	Mo Pos Lo QC	800			
D	2	standard	0.32	1			
D	3	standard	0.32	1			
D	4	sample	50% WT to KO 	200			
D	5	sample	50% WT to KO 	200			
D	6	sample	Mo Neg QC	200			
D	7	sample	Mo Neg QC	200			
D	8	sample	50% WT to KO 	800			
D	9	sample	50% WT to KO 	800			
D	10	sample	Mo Neg QC	800			
D	11	sample	Mo Neg QC	800			
E	2	standard	0.128	1			
E	3	standard	0.128	1			
E	4	sample	25% WT to KO 	200			
E	5	sample	25% WT to KO 	200			
E	8	sample	25% WT to KO 	800			
E	9	sample	25% WT to KO 	800			
F	2	standard	0.0512	1			
F	3	standard	0.0512	1			
F	4	sample	10% WT to KO 	200			
F	5	sample	10% WT to KO 	200			
F	8	sample	10% WT to KO 	800			
F	9	sample	10% WT to KO 	800			
G	2	standard	0.02048	1			
G	3	standard	0.02048	1			
G	4	sample	0% WT to KO 	200			
G	5	sample	0% WT to KO 	200			
G	8	sample	0% WT to KO 	800			
G	9	sample	0% WT to KO 	800			
H	2	standard	0	1			
H	3	standard	0	1			
