row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	sample	M2 - PFC	200	MoPrP16		
A	4	sample	M2 - PFC	200	MoPrP16		
A	5	sample	M3 - PFC	200	MoPrP16		
A	6	sample	M3 - PFC	200	MoPrP16		
A	7	sample	M4 - PFC	200	MoPrP16		
A	8	sample	M4 - PFC	200	MoPrP16		
A	9	sample	F1 - PFC	200	MoPrP16		
A	10	sample	F1 - PFC	200	MoPrP16		
A	11	sample	F2 - PFC	200	MoPrP16		
A	12	sample	F2 - PFC	200	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	sample	M2 - Str	200	MoPrP16		
B	4	sample	M2 - Str	200	MoPrP16		
B	5	sample	M3 - Str	200	MoPrP16		
B	6	sample	M3 - Str	200	MoPrP16		
B	7	sample	M4 - Str	200	MoPrP16		
B	8	sample	M4 - Str	200	MoPrP16		
B	9	sample	F1 - Str	200	MoPrP16		
B	10	sample	F1 - Str	200	MoPrP16		
B	11	sample	F2 - Str	200	MoPrP16		
B	12	sample	F2 - Str	200	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	sample	M2 - HP	200	MoPrP16		
C	4	sample	M2 - HP	200	MoPrP16		
C	5	sample	M3 - HP	200	MoPrP16		
C	6	sample	M3 - HP	200	MoPrP16		
C	7	sample	M4 - HP	200	MoPrP16		
C	8	sample	M4 - HP	200	MoPrP16		
C	9	sample	F1 - HP	200	MoPrP16		
C	10	sample	F1 - HP	200	MoPrP16		
C	11	sample	F2 - HP	200	MoPrP16		
C	12	sample	F2 - HP	200	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	sample	M2 - MC	200	MoPrP16		
D	4	sample	M2 - MC	200	MoPrP16		
D	5	sample	M3 - MC	200	MoPrP16		
D	6	sample	M3 - MC	200	MoPrP16		
D	7	sample	M4 - MC	200	MoPrP16		
D	8	sample	M4 - MC	200	MoPrP16		
D	9	sample	F1 - MC	200	MoPrP16		
D	10	sample	F1 - MC	200	MoPrP16		
D	11	sample	F2 - MC	200	MoPrP16		
D	12	sample	F2 - MC	200	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	sample	M2 - CB	200	MoPrP16		
E	4	sample	M2 - CB	200	MoPrP16		
E	5	sample	M3 - CB	200	MoPrP16		
E	6	sample	M3 - CB	200	MoPrP16		
E	7	sample	M4 - CB	200	MoPrP16		
E	8	sample	M4 - CB	200	MoPrP16		
E	9	sample	F1 - CB	200	MoPrP16		
E	10	sample	F1 - CB	200	MoPrP16		
E	11	sample	F2 - CB	200	MoPrP16		
E	12	sample	F2 - CB	200	MoPrP16		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	sample	M2 - Mid	200	MoPrP16		
F	4	sample	M2 - Mid	200	MoPrP16		
F	5	sample	M3 - Mid	200	MoPrP16		
F	6	sample	M3 - Mid	200	MoPrP16		
F	7	sample	M4 - Mid	200	MoPrP16		
F	8	sample	M4 - Mid	200	MoPrP16		
F	9	sample	F1 - Mid	200	MoPrP16		
F	10	sample	F1 - Mid	200	MoPrP16		
F	11	sample	F2 - Mid	200	MoPrP16		
F	12	sample	F2 - Mid	200	MoPrP16		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	sample	F3 - PFC	200	MoPrP16		
G	4	sample	F3 - PFC	200	MoPrP16		
G	5	sample	F3 - Str	200	MoPrP16		
G	6	sample	F3 - Str	200	MoPrP16		
G	7	sample	F3 - HP	200	MoPrP16		
G	8	sample	F3 - HP	200	MoPrP16		
G	9	sample	F3 - MC	200	MoPrP16		
G	10	sample	F3 - MC	200	MoPrP16		
G	11	sample	F3 - CB	200	MoPrP16		
G	12	sample	F3 - CB	200	MoPrP16		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	sample	F3 - Mid	200	MoPrP16		
H	4	sample	F3 - Mid	200	MoPrP16		
H	5	sample	Mo Pos Hi QC	200	MoPrP16		
H	6	sample	Mo Pos Hi QC	200	MoPrP16		
H	7	sample	Mo Pos Mid QC	200	MoPrP16		
H	8	sample	Mo Pos Mid QC	200	MoPrP16		
H	9	sample	Mo Pos Lo QC	200	MoPrP16		
H	10	sample	Mo Pos Lo QC	200	MoPrP16		
H	11	sample	Mo Neg QC	200	MoPrP16		
H	12	sample	Mo Neg QC	200	MoPrP16		
