row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	sample	A1	200	MoPrP16		
A	4	sample	A1	200	MoPrP16		
A	5	sample	C1	200	MoPrP16		
A	6	sample	C1	200	MoPrP16		
A	7	sample	E1	200	MoPrP16		
A	8	sample	E1	200	MoPrP16		
A	9	sample	N2a lysate - 0.2% CHAPS - Vigorous Pipetting	10	MoPrP16		
A	10	sample	N2a lysate - 0.2% CHAPS - Vigorous Pipetting	10	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	sample	A2	200	MoPrP16		
B	4	sample	A2	200	MoPrP16		
B	5	sample	C2	200	MoPrP16		
B	6	sample	C2	200	MoPrP16		
B	7	sample	E2	200	MoPrP16		
B	8	sample	E2	200	MoPrP16		
B	9	sample	N2a lysate - Assay buffer	1	MoPrP16		
B	10	sample	N2a lysate - Assay buffer	1	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	sample	A3	200	MoPrP16		
C	4	sample	A3	200	MoPrP16		
C	5	sample	C3	200	MoPrP16		
C	6	sample	C3	200	MoPrP16		
C	7	sample	E3	200	MoPrP16		
C	8	sample	E3	200	MoPrP16		
C	9	sample	N2a lysate - 0.2% CHAPS - RT for 2 hrs	10	MoPrP16		
C	10	sample	N2a lysate - 0.2% CHAPS - RT for 2 hrs	10	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	sample	A4	200	MoPrP16		
D	4	sample	A4	200	MoPrP16		
D	5	sample	C4	200	MoPrP16		
D	6	sample	C4	200	MoPrP16		
D	7	sample	E4	200	MoPrP16		
D	8	sample	E4	200	MoPrP16		
D	9	sample	N2a lysate - 0.2% CHAPS - RT for 4 hrs	10	MoPrP16		
D	10	sample	N2a lysate - 0.2% CHAPS - RT for 4 hrs	10	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	sample	B1	200	MoPrP16		
E	4	sample	B1	200	MoPrP16		
E	5	sample	D1	200	MoPrP16		
E	6	sample	D1	200	MoPrP16		
E	7	sample	Mo Pos Hi QC	200	MoPrP16		
E	8	sample	Mo Pos Hi QC	200	MoPrP16		
E	9	sample	N2a lysate - 0.2% CHAPS - Control	10	MoPrP16		
E	10	sample	N2a lysate - 0.2% CHAPS - Control	10	MoPrP16		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	sample	B2	200	MoPrP16		
F	4	sample	B2	200	MoPrP16		
F	5	sample	D2	200	MoPrP16		
F	6	sample	D2	200	MoPrP16		
F	7	sample	Mo Pos Mid QC	200	MoPrP16		
F	8	sample	Mo Pos Mid QC	200	MoPrP16		
F	9	sample	N2a lysate - 0.2% CHAPS - Minilys	10	MoPrP16		
F	10	sample	N2a lysate - 0.2% CHAPS - Minilys	10	MoPrP16		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	sample	B3	200	MoPrP16		
G	4	sample	B3	200	MoPrP16		
G	5	sample	D3	200	MoPrP16		
G	6	sample	D3	200	MoPrP16		
G	7	sample	Mo Pos Lo QC	200	MoPrP16		
G	8	sample	Mo Pos Lo QC	200	MoPrP16		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	sample	B4	200	MoPrP16		
H	4	sample	B4	200	MoPrP16		
H	5	sample	D4	200	MoPrP16		
H	6	sample	D4	200	MoPrP16		
H	7	sample	Mo Neg QC	200	MoPrP16		
H	8	sample	Mo Neg QC	200	MoPrP16		
