row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	standard	5	1	HuPrP5		
A	4	standard	5	1	HuPrP5		
A	5	standard	5	1	RaPrP50		
A	6	standard	5	1	RaPrP50		
A	7	standard	5	1	SHaPrP71		
A	8	standard	5	1	SHaPrP71		
A	9	sample	Mo Pos Hi QC	200	MoPrP16		
A	10	sample	Mo Pos Hi QC	200	MoPrP16		
A	11	sample	N2a cell lysate - 150uL	10	MoPrP16		
A	12	sample	N2a cell lysate - 150uL	10	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	standard	2	1	HuPrP5		
B	4	standard	2	1	HuPrP5		
B	5	standard	2	1	RaPrP50		
B	6	standard	2	1	RaPrP50		
B	7	standard	2	1	SHaPrP71		
B	8	standard	2	1	SHaPrP71		
B	9	sample	Mo Pos Mid QC	200	MoPrP16		
B	10	sample	Mo Pos Mid QC	200	MoPrP16		
B	11	sample	N2a cell lysate - 75uL	10	MoPrP16		
B	12	sample	N2a cell lysate - 75uL	10	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	standard	0.8	1	HuPrP5		
C	4	standard	0.8	1	HuPrP5		
C	5	standard	0.8	1	RaPrP50		
C	6	standard	0.8	1	RaPrP50		
C	7	standard	0.8	1	SHaPrP71		
C	8	standard	0.8	1	SHaPrP71		
C	9	sample	Mo Pos Lo QC	200	MoPrP16		
C	10	sample	Mo Pos Lo QC	200	MoPrP16		
C	11	sample	N2a cell lysate - 30uL	10	MoPrP16		
C	12	sample	N2a cell lysate - 30uL	10	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	standard	0.32	1	HuPrP5		
D	4	standard	0.32	1	HuPrP5		
D	5	standard	0.32	1	RaPrP50		
D	6	standard	0.32	1	RaPrP50		
D	7	standard	0.32	1	SHaPrP71		
D	8	standard	0.32	1	SHaPrP71		
D	9	sample	Mo Neg QC	200	MoPrP16		
D	10	sample	Mo Neg QC	200	MoPrP16		
D	11	sample	F Rat BH	200	RaPrP50		
D	12	sample	F Rat BH	200	RaPrP50		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	standard	0.128	1	HuPrP5		
E	4	standard	0.128	1	HuPrP5		
E	5	standard	0.128	1	RaPrP50		
E	6	standard	0.128	1	RaPrP50		
E	7	standard	0.128	1	SHaPrP71		
E	8	standard	0.128	1	SHaPrP71		
E	9	sample	1965 Post Central Parietal	200	HuPrP5		
E	10	sample	1965 Post Central Parietal	200	HuPrP5		
E	11	sample	M Rat BH	200	RaPrP50		
E	12	sample	M Rat BH	200	RaPrP50		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	standard	0.0512	1	HuPrP5		
F	4	standard	0.0512	1	HuPrP5		
F	5	standard	0.0512	1	RaPrP50		
F	6	standard	0.0512	1	RaPrP50		
F	7	standard	0.0512	1	SHaPrP71		
F	8	standard	0.0512	1	SHaPrP71		
F	9	sample	2015 Cerebrum	200	HuPrP5		
F	10	sample	2015 Cerebrum	200	HuPrP5		
F	11	sample	SHa BH	200	SHaPrP71		
F	12	sample	SHa BH	200	SHaPrP71		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	standard	0.02048	1	HuPrP5		
G	4	standard	0.02048	1	HuPrP5		
G	5	standard	0.02048	1	RaPrP50		
G	6	standard	0.02048	1	RaPrP50		
G	7	standard	0.02048	1	SHaPrP71		
G	8	standard	0.02048	1	SHaPrP71		
G	9	sample	2009 Mid Temporal	200	HuPrP5		
G	10	sample	2009 Mid Temporal	200	HuPrP5		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	standard	0	1	HuPrP5		
H	4	standard	0	1	HuPrP5		
H	5	standard	0	1	RaPrP50		
H	6	standard	0	1	RaPrP50		
H	7	standard	0	1	SHaPrP71		
H	8	standard	0	1	SHaPrP71		
H	9	sample	2009 Caudate	200	HuPrP5		
H	10	sample	2009 Caudate	200	HuPrP5		
