row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	sample	A1	200	MoPrP16		
A	4	sample	A1	200	MoPrP16		
A	5	sample	B1	200	MoPrP16		
A	6	sample	B1	200	MoPrP16		
A	9	sample	D1	200	MoPrP16		
A	10	sample	D1	200	MoPrP16		
A	11	sample	Mo Pos Hi QC	200	MoPrP16		
A	12	sample	Mo Pos Hi QC	200	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	sample	A2	200	MoPrP16		
B	4	sample	A2	200	MoPrP16		
B	5	sample	B2	200	MoPrP16		
B	6	sample	B2	200	MoPrP16		
B	7	sample	C2	200	MoPrP16		
B	8	sample	C2	200	MoPrP16		
B	9	sample	D2	200	MoPrP16		
B	10	sample	D2	200	MoPrP16		
B	11	sample	Mo Pos Mid QC	200	MoPrP16		
B	12	sample	Mo Pos Mid QC	200	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	sample	A3	200	MoPrP16		
C	4	sample	A3	200	MoPrP16		
C	5	sample	B3	200	MoPrP16		
C	6	sample	B3	200	MoPrP16		
C	7	sample	C3	200	MoPrP16		
C	8	sample	C3	200	MoPrP16		
C	9	sample	D3	200	MoPrP16		
C	10	sample	D3	200	MoPrP16		
C	11	sample	Mo Pos Lo QC	200	MoPrP16		
C	12	sample	Mo Pos Lo QC	200	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	sample	A4	200	MoPrP16		
D	4	sample	A4	200	MoPrP16		
D	5	sample	B4	200	MoPrP16		
D	6	sample	B4	200	MoPrP16		
D	7	sample	C4	200	MoPrP16		
D	8	sample	C4	200	MoPrP16		
D	9	sample	D4	200	MoPrP16		
D	10	sample	D4	200	MoPrP16		
D	11	sample	Mo Neg QC	200	MoPrP16		
D	12	sample	Mo Neg QC	200	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	sample	A5	200	MoPrP16		
E	4	sample	A5	200	MoPrP16		
E	5	sample	B5	200	MoPrP16		
E	6	sample	B5	200	MoPrP16		
E	7	sample	C5	200	MoPrP16		
E	8	sample	C5	200	MoPrP16		
E	9	sample	D5	200	MoPrP16		
E	10	sample	D5	200	MoPrP16		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	sample	A6	200	MoPrP16		
F	4	sample	A6	200	MoPrP16		
F	5	sample	B6	200	MoPrP16		
F	6	sample	B6	200	MoPrP16		
F	7	sample	C6	200	MoPrP16		
F	8	sample	C6	200	MoPrP16		
F	9	sample	D6	200	MoPrP16		
F	10	sample	D6	200	MoPrP16		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	sample	A7	200	MoPrP16		
G	4	sample	A7	200	MoPrP16		
G	5	sample	B7	200	MoPrP16		
G	6	sample	B7	200	MoPrP16		
G	7	sample	C7	200	MoPrP16		
G	8	sample	C7	200	MoPrP16		
G	9	sample	D7	200	MoPrP16		
G	10	sample	D7	200	MoPrP16		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	sample	A8	200	MoPrP16		
H	4	sample	A8	200	MoPrP16		
H	5	sample	B8	200	MoPrP16		
H	6	sample	B8	200	MoPrP16		
H	7	sample	C8	200	MoPrP16		
H	8	sample	C8	200	MoPrP16		
H	9	sample	D8	200	MoPrP16		
H	10	sample	D8	200	MoPrP16		
