row	col	stype	detail	dilution			
A	1	standard	5	1			
A	2	standard	5	1			
A	3	standard	5	1			
A	4	standard	5	1			
A	5	standard	5	1			
A	6	standard	5	1			
A	7	sample	Mo Pos Hi QC	200			
A	8	sample	Mo Pos Hi QC	200			
A	9	sample	Mo Pos Hi QC	200			
B	1	standard	2	1			
B	2	standard	2	1			
B	3	standard	2	1			
B	4	standard	2	1			
B	5	standard	2	1			
B	6	standard	2	1			
B	7	sample	Mo Pos Hi QC	200			
B	8	sample	Mo Pos Hi QC	200			
B	9	sample	Mo Pos Hi QC	200			
C	1	standard	0.8	1			
C	2	standard	0.8	1			
C	3	standard	0.8	1			
C	4	standard	0.8	1			
C	5	standard	0.8	1			
C	6	standard	0.8	1			
C	7	sample	Mo Pos Mid QC	200			
C	8	sample	Mo Pos Mid QC	200			
C	9	sample	Mo Pos Mid QC	200			
D	1	standard	0.32	1			
D	2	standard	0.32	1			
D	3	standard	0.32	1			
D	4	standard	0.32	1			
D	5	standard	0.32	1			
D	6	standard	0.32	1			
D	7	sample	Mo Pos Mid QC	200			
D	8	sample	Mo Pos Mid QC	200			
D	9	sample	Mo Pos Mid QC	200			
E	1	standard	0.128	1			
E	2	standard	0.128	1			
E	3	standard	0.128	1			
E	4	standard	0.128	1			
E	5	standard	0.128	1			
E	6	standard	0.128	1			
E	7	sample	Mo Pos Lo QC	200			
E	8	sample	Mo Pos Lo QC	200			
E	9	sample	Mo Pos Lo QC	200			
F	1	standard	0.0512	1			
F	2	standard	0.0512	1			
F	3	standard	0.0512	1			
F	4	standard	0.0512	1			
F	5	standard	0.0512	1			
F	6	standard	0.0512	1			
F	7	sample	Mo Pos Lo QC	200			
F	8	sample	Mo Pos Lo QC	200			
F	9	sample	Mo Pos Lo QC	200			
G	1	standard	0.02048	1			
G	2	standard	0.02048	1			
G	3	standard	0.02048	1			
G	4	standard	0.02048	1			
G	5	standard	0.02048	1			
G	6	standard	0.02048	1			
G	7	sample	Mo Neg QC	200			
G	8	sample	Mo Neg QC	200			
G	9	sample	Mo Neg QC	200			
H	1	standard	0	1			
H	2	standard	0	1			
H	3	standard	0	1			
H	4	standard	0	1			
H	5	standard	0	1			
H	6	standard	0	1			
H	7	sample	Mo Neg QC	200			
H	8	sample	Mo Neg QC	200			
H	9	sample	Mo Neg QC	200			
