prep_date	label	skyline_id	sample	description
2020-11-02	RA01	QS201103_PrP_Exp26_RA01_01	A1	
2020-11-02	RA02	QS201103_PrP_Exp26_RA02_01	A2	
2020-11-02	RA03	QS201103_PrP_Exp26_RA03_01	A3	
2020-11-02	RA04	QS201103_PrP_Exp26_RA04_01		sample A4, part spilled; decided on day-of to exclude from analysis
2020-11-02	RA05	QS201103_PrP_Exp26_RA05_01	A5	
2020-11-02	RA06	QS201103_PrP_Exp26_RA06_01	A6	
2020-11-02	RA07	QS201103_PrP_Exp26_RA07_01	B1	
2020-11-02	RA08	QS201103_PrP_Exp26_RA08_01	B2	
2020-11-02	RA09	QS201103_PrP_Exp26_RA09_01	B3	
2020-11-02	RA10	QS201103_PrP_Exp26_RA10_01	B4	
2020-11-02	RA11	QS201103_PrP_Exp26_RA11_01	B5	
2020-11-02	RA12	QS201103_PrP_Exp26_RA12_01	B6	
2020-11-02	RA13	QS201103_PrP_Exp26_RA13_01	C1	
2020-11-02	RA14	QS201103_PrP_Exp26_RA14_01	C2	
2020-11-02	RA15	QS201103_PrP_Exp26_RA15_01	C3	
2020-11-02	RA16	QS201103_PrP_Exp26_RA16_01	C4	
2020-11-02	RA17	QS201103_PrP_Exp26_RA17_01	C5	
2020-11-02	RA18	QS201103_PrP_Exp26_RA18_01	C6	
2020-11-02	RA19	QS201103_PrP_Exp26_RA19_01	D1	
2020-11-02	RA20	QS201103_PrP_Exp26_RA20_01	D2	
2020-11-02	RA21	QS201103_PrP_Exp26_RA21_01	D3	
2020-11-02	RA22	QS201103_PrP_Exp26_RA22_01	D4/5	
2020-11-02	RA23	QS201103_PrP_Exp26_RA23_01	D6	
2020-11-02	RA24	QS201103_PrP_Exp26_RA24_01	9-IPC	
